,age,amount,approved,citizen,income_class,marital,no_depend,region,sex,state
87,71,16000.0,1,0,2,1,4,3,1,0
88,39,1400.0,1,1,0,1,4,2,0,1
89,84,0.0,0,1,1,1,4,5,0,1
90,5,0.0,0,0,2,1,4,0,1,0
91,95,0.0,0,0,3,1,0,6,0,1
92,46,6200.0,1,0,0,0,1,3,0,1
93,31,18000.0,1,0,3,1,2,3,1,0
94,82,8600.0,1,0,1,1,3,4,1,1
95,15,0.0,0,0,1,0,4,1,1,1
96,55,0.0,0,0,3,0,2,5,0,1
97,4,0.0,0,0,1,1,4,1,1,0
98,92,1500.0,1,1,0,0,4,4,0,0
99,26,1400.0,1,1,0,1,3,3,0,0
100,53,3100.0,1,1,2,0,4,3,0,1
101,28,0.0,0,1,3,0,3,6,1,1
102,13,0.0,0,0,1,0,4,0,1,0
103,73,1500.0,1,1,0,1,1,2,1,1
104,64,2200.0,1,1,1,1,3,0,0,1
105,36,0.0,0,0,0,0,2,6,1,1
106,13,0.0,0,1,3,0,1,1,1,0
107,71,8100.000000000001,1,0,1,1,4,1,0,1
108,41,9500.0,1,0,0,1,4,0,1,0
109,13,0.0,0,0,3,0,4,5,1,1
110,7,0.0,0,1,0,1,3,6,0,1
111,1,0.0,0,1,0,0,1,4,1,1
112,67,2800.0,1,1,2,0,0,0,0,0
113,66,0.0,0,1,1,1,3,6,0,1
114,6,0.0,0,1,0,0,4,4,0,1
115,56,0.0,0,0,2,0,2,5,1,1
116,69,13500.0,1,0,1,1,1,3,0,0
117,74,2900.0,1,1,2,0,0,4,1,0
118,32,9700.0,1,0,2,1,3,1,1,1
119,67,15500.0,1,0,2,1,1,3,0,0
120,1,0.0,0,0,2,1,0,3,0,0
121,47,0.0,0,1,3,1,2,6,0,0
122,64,0.0,0,1,1,1,0,6,0,1
123,91,9500.0,1,0,0,1,2,0,1,0
124,4,0.0,0,0,0,1,2,3,1,1
125,7,0.0,0,1,2,0,4,2,1,1
126,36,2200.0,1,1,1,1,4,3,0,1
127,46,8400.0,1,0,1,0,4,2,1,1
128,79,9100.0,1,0,0,0,3,2,1,0
129,14,0.0,0,1,3,0,0,2,1,1
130,90,8700.0,1,0,0,0,1,0,1,0
131,37,1500.0,1,1,0,0,4,3,0,0
132,60,2100.0,1,1,1,0,2,4,1,0
133,63,0.0,0,0,1,1,4,6,1,0
134,64,7900.000000000001,1,0,1,0,4,2,0,1
135,16,0.0,0,0,3,0,4,5,1,0
136,48,10400.0,1,0,1,0,2,2,1,0
137,46,12000.0,1,0,2,1,2,2,0,0
138,36,0.0,0,1,3,0,3,5,0,1
139,92,10900.0,1,0,0,0,2,3,0,0
140,96,3800.0,1,1,3,1,4,0,0,0
141,59,12500.0,1,0,2,1,3,1,1,0
142,11,0.0,0,1,0,1,0,1,0,1
143,36,3700.0,1,1,3,0,2,0,1,0
144,30,8400.0,1,0,2,0,1,0,0,1
145,58,0.0,0,1,0,1,0,6,1,0
146,96,7100.0,1,0,0,0,3,1,1,1
147,12,0.0,0,0,0,1,4,1,0,1
148,73,1400.0,1,1,0,1,0,3,0,0
149,98,18000.0,1,0,3,1,0,4,1,0
150,43,7100.0,1,0,0,0,3,1,1,1
151,80,2900.0,1,1,2,0,1,3,1,0
152,36,9500.0,1,0,3,0,1,2,0,1
153,1,0.0,0,1,3,1,3,4,0,1
154,65,0.0,0,1,1,0,2,6,0,1
155,48,3800.0,1,1,3,1,0,1,0,0
156,25,16000.0,1,0,2,1,4,4,1,0
157,66,3700.0,1,1,3,0,0,3,1,1
158,60,8600.0,1,0,1,1,3,4,1,1
159,2,0.0,0,0,1,0,4,6,1,1
160,75,3900.0,1,1,3,0,4,1,0,1
161,42,7000.0,1,0,0,1,1,1,0,1
162,71,3600.0,1,1,3,0,0,3,0,1
163,45,0.0,0,0,1,1,3,5,0,0
164,14,0.0,0,0,2,1,4,2,1,1
165,76,7000.0,1,0,0,0,0,1,1,1
166,55,12000.0,1,0,2,1,4,2,0,0
167,90,0.0,0,0,0,0,0,5,0,1
168,35,3100.0,1,1,2,0,4,3,0,0
169,40,1200.0,1,1,0,0,1,2,0,0
170,6,0.0,0,1,2,1,4,0,1,0
171,83,7000.0,1,0,0,1,2,0,0,1
172,48,0.0,0,1,3,0,2,6,0,0
173,96,12700.0,1,0,3,0,1,2,0,0
174,53,8100.000000000001,1,0,1,0,0,2,1,1
175,44,0.0,0,1,0,0,4,5,0,0
176,83,9700.0,1,0,2,1,2,4,1,1
177,86,0.0,0,1,1,0,2,6,1,0
178,6,0.0,0,0,2,1,1,4,0,1
179,80,2200.0,1,1,1,0,3,2,0,0
180,12,0.0,0,0,2,1,3,5,1,1
181,40,0.0,0,1,3,0,0,5,0,0
182,89,3900.0,1,1,3,0,3,4,1,1
183,7,0.0,0,1,0,1,3,4,0,1
184,19,13500.0,1,0,3,1,0,1,0,0
185,94,0.0,0,0,3,1,2,6,0,0
186,1,0.0,0,1,3,0,3,6,1,0
187,51,2800.0,1,1,2,0,2,0,0,1
188,35,6400.0,1,0,0,0,2,2,0,1
189,69,13500.0,1,0,3,1,2,0,0,0
190,15,0.0,0,0,0,0,0,2,1,1
191,62,7000.0,1,0,0,1,2,0,0,1
192,5,0.0,0,1,3,1,0,4,1,1
193,91,0.0,0,0,0,1,0,6,1,1
194,38,6600.0,1,0,0,0,3,2,0,1
195,45,14000.0,1,0,1,1,3,4,1,0
196,16,0.0,0,0,2,0,4,0,1,0
197,87,1300.0,1,1,0,0,1,4,1,0
198,7,0.0,0,0,3,0,1,0,1,0
199,81,14900.0,1,0,2,0,2,3,0,0
200,65,12000.0,1,0,2,0,0,0,1,0
201,50,0.0,0,0,0,0,4,5,1,0
202,65,1600.0,1,1,0,0,4,2,1,0
203,70,0.0,0,1,1,1,0,5,0,0
204,98,0.0,0,0,0,0,2,6,1,0
205,60,13500.0,1,0,3,1,1,1,0,0
206,63,13500.0,1,0,1,1,1,4,0,0
207,100,0.0,0,1,2,0,3,5,0,1
208,13,0.0,0,1,1,1,0,3,1,0
209,57,0.0,0,1,2,1,2,6,1,0
210,52,16000.0,1,0,2,1,4,3,1,0
211,41,0.0,0,1,2,0,3,5,0,0
212,6,0.0,0,0,0,0,1,2,1,1
213,83,17800.0,1,0,3,0,4,4,1,0
214,51,8600.0,1,0,0,0,3,2,0,0
215,87,1300.0,1,1,0,0,1,0,1,0
216,89,11000.0,1,0,0,0,0,3,0,0
217,28,3700.0,1,1,3,0,2,3,1,1
218,91,0.0,0,1,3,1,0,5,0,0
219,96,1300.0,1,1,0,0,1,1,1,1
220,25,3000.0,1,1,2,1,3,1,0,0
221,99,13300.0,1,0,3,0,4,2,0,0
222,73,17600.0,1,0,3,0,3,3,1,0
223,58,0.0,0,1,1,1,2,5,1,0
224,13,0.0,0,0,2,0,4,4,0,1
225,24,17600.0,1,0,3,0,3,4,1,0
226,40,9700.0,1,0,2,1,0,4,1,1
227,68,7000.0,1,0,0,1,3,2,0,1
228,52,11000.0,1,0,1,1,2,0,1,0
229,3,0.0,0,1,1,1,1,4,1,1
230,77,1500.0,1,1,0,1,1,3,1,0
231,76,0.0,0,0,3,0,3,6,1,1
232,66,0.0,0,0,0,1,3,6,1,1
233,2,0.0,0,0,1,0,3,4,1,1
234,95,15800.0,1,0,2,0,4,4,1,0
235,99,2100.0,1,1,1,0,0,4,1,1
236,25,3700.0,1,1,3,0,1,0,1,1
237,49,0.0,0,1,1,0,3,5,1,1
238,32,0.0,0,0,3,0,4,6,0,0
239,55,2300.0,1,1,1,1,1,4,1,0
240,14,0.0,0,0,0,1,0,0,1,0
241,74,0.0,0,1,0,1,2,6,1,1
242,79,2300.0,1,1,1,1,1,4,1,0
243,31,0.0,0,1,0,1,1,6,1,0
244,29,1400.0,1,1,0,0,3,1,0,0
245,57,8100.000000000001,1,0,1,1,1,1,0,1
246,67,0.0,0,0,2,0,0,6,1,1
247,61,0.0,0,1,0,0,2,5,1,0
248,66,3000.0,1,1,2,0,3,1,0,0
249,92,0.0,0,1,0,1,4,6,0,0
250,83,0.0,0,0,0,1,0,5,0,1
251,24,1500.0,1,1,0,0,3,4,1,1
252,36,2900.0,1,1,2,0,1,2,1,1
253,1,0.0,0,1,3,1,2,3,1,1
254,51,6900.0,1,0,0,0,2,0,1,1
255,48,0.0,0,1,1,0,2,6,1,1
256,38,2200.0,1,1,1,1,4,0,0,0
257,38,0.0,0,0,2,1,1,6,1,1
258,85,0.0,0,1,2,0,0,6,1,0
259,45,1500.0,1,1,0,0,3,0,1,0
260,78,3100.0,1,1,2,1,3,4,1,0
261,6,0.0,0,0,0,0,0,2,0,0
262,98,1600.0,1,1,0,0,4,1,1,1
263,95,3100.0,1,1,2,1,3,3,1,1
264,20,2200.0,1,1,1,1,3,3,0,1
265,87,1300.0,1,1,0,0,0,2,1,0
266,76,0.0,0,1,3,0,2,5,0,0
267,3,0.0,0,0,0,0,2,2,1,1
268,55,3900.0,1,1,3,0,4,4,0,0
269,21,1200.0,1,1,0,0,2,4,0,0
270,17,0.0,0,0,2,0,1,0,0,1
271,49,2200.0,1,1,1,1,2,1,0,0
272,88,0.0,0,0,0,0,4,5,1,1
273,71,10800.0,1,0,3,1,4,4,1,1
274,19,2300.0,1,1,1,1,4,0,1,0
275,23,3800.0,1,1,3,1,2,2,0,0
276,66,10300.0,1,0,3,1,2,2,0,1
277,11,0.0,0,1,0,1,4,1,1,0
278,13,0.0,0,1,2,0,2,0,1,0
279,53,0.0,0,0,3,1,0,6,0,1
280,13,0.0,0,0,0,0,2,3,1,0
281,99,3100.0,1,1,2,1,2,1,1,1
282,57,6400.0,1,0,0,0,2,4,0,1
283,59,0.0,0,0,1,1,2,5,0,1
284,46,0.0,0,0,2,0,0,5,1,0
285,97,1500.0,1,1,0,0,3,4,1,0
286,44,10300.0,1,0,3,1,0,2,0,1
287,53,0.0,0,1,0,0,2,6,1,0
288,97,0.0,0,0,0,0,0,5,1,1
289,30,3800.0,1,1,3,1,0,3,0,0
290,33,3800.0,1,1,3,1,0,2,0,0
291,100,9000.0,1,0,0,1,4,2,0,0
292,35,0.0,0,1,3,0,0,5,0,0
293,37,2200.0,1,1,1,1,3,0,0,1
294,55,1400.0,1,1,0,1,2,1,0,0
295,49,3800.0,1,1,3,1,1,0,0,0
296,91,3900.0,1,1,3,0,4,1,0,0
297,22,0.0,0,1,1,0,1,6,0,0
298,37,0.0,0,1,0,1,4,5,1,1
299,27,0.0,0,0,0,1,3,5,1,1
300,96,6700.0,1,0,0,0,1,1,1,1
301,9,0.0,0,1,2,0,3,2,1,0
302,66,8600.0,1,0,1,1,0,4,1,1
303,35,2800.0,1,1,2,0,1,0,0,1
304,60,3900.0,1,1,3,1,1,0,1,0
305,47,0.0,0,1,1,0,4,6,0,0
306,82,9500.0,1,0,0,1,2,2,1,0
307,80,8900.0,1,0,0,0,2,0,1,0
308,83,13600.0,1,0,3,0,3,0,1,0
309,84,0.0,0,1,1,1,3,5,1,0
310,92,1500.0,1,1,0,1,4,2,1,1
311,60,0.0,0,1,3,1,2,5,1,0
312,71,2300.0,1,1,1,1,3,0,1,0
313,6,0.0,0,0,0,1,1,6,1,1
314,49,8700.0,1,0,0,0,1,0,1,0
315,11,0.0,0,0,1,1,1,0,1,0
316,61,3000.0,1,1,2,1,4,2,0,0
317,43,6900.0,1,0,0,0,2,4,1,1
318,85,0.0,0,1,1,1,4,5,1,0
319,66,3000.0,1,1,2,0,3,4,0,0
320,10,0.0,0,0,0,1,2,5,0,1
321,26,10200.0,1,0,1,0,1,1,1,0
322,19,3900.0,1,1,3,1,1,1,1,0
323,95,0.0,0,0,3,0,2,5,0,0
324,100,7000.0,1,0,0,0,0,2,1,1
325,3,0.0,0,0,0,1,3,5,1,0
326,63,1200.0,1,1,0,0,0,0,0,0
327,83,1500.0,1,1,0,1,1,3,1,1
328,21,0.0,0,1,2,0,1,5,1,0
329,98,10100.0,1,0,3,0,4,3,0,1
330,20,2200.0,1,1,1,1,3,4,0,1
331,41,0.0,0,0,3,1,3,6,1,1
332,58,0.0,0,1,3,0,1,5,1,0
333,33,9000.0,1,0,0,1,4,2,0,0
334,75,1400.0,1,1,0,1,4,3,0,1
335,68,10800.0,1,0,3,1,1,2,1,1
336,48,3200.0,1,1,2,0,4,0,1,0
337,54,1300.0,1,1,0,0,0,3,1,0
338,75,2800.0,1,1,2,0,1,3,0,1
339,54,0.0,0,0,2,1,3,5,1,0
340,100,3100.0,1,1,2,1,3,0,1,0
341,98,9500.0,1,0,2,0,4,1,1,1
342,8,0.0,0,1,3,0,3,0,0,1
343,17,0.0,0,0,3,0,3,5,1,0
344,64,0.0,0,0,1,0,2,6,0,0
345,91,9000.0,1,0,0,0,0,2,1,0
346,56,2300.0,1,1,1,1,4,4,1,1
347,76,0.0,0,0,2,1,3,5,1,0
348,4,0.0,0,0,2,0,1,1,0,0
349,79,3800.0,1,1,3,1,4,0,0,0
350,32,1400.0,1,1,0,1,4,2,0,1
351,8,0.0,0,1,2,0,2,0,1,1
352,53,0.0,0,1,0,0,1,5,1,1
353,55,3800.0,1,1,3,0,3,4,0,1
354,59,2400.0,1,1,1,0,4,1,1,1
355,47,9100.0,1,0,0,0,3,0,1,0
356,93,3600.0,1,1,3,0,0,3,0,0
357,44,2000.0,1,1,1,0,0,3,0,1
358,85,7000.0,1,0,0,1,0,4,0,1
359,85,0.0,0,1,1,1,1,5,1,0
360,21,0.0,0,0,1,1,2,6,0,1
361,8,0.0,0,1,1,0,4,6,1,0
362,10,0.0,0,1,2,0,1,4,0,0
363,2,0.0,0,1,1,0,1,0,0,0
364,50,0.0,0,0,2,1,1,6,0,0
365,46,3800.0,1,1,3,1,0,0,0,0
366,45,1300.0,1,1,0,0,1,2,1,1
367,63,7500.0,1,0,0,1,3,1,1,1
368,97,8100.000000000001,1,0,1,0,0,2,1,1
369,89,2800.0,1,1,2,0,2,1,0,1
370,85,7500.0,1,0,0,1,4,1,1,1
371,6,0.0,0,1,3,1,4,5,0,0
372,99,2100.0,1,1,1,0,2,2,1,0
373,29,3000.0,1,1,2,1,1,2,0,1
374,49,2100.0,1,1,1,0,2,4,1,1
375,8,0.0,0,0,2,0,1,0,0,0
376,25,0.0,0,1,1,1,3,5,1,1
377,83,1500.0,1,1,0,1,0,1,1,1
378,18,3100.0,1,1,2,1,4,1,1,1
379,10,0.0,0,1,1,1,2,6,1,1
380,18,0.0,0,1,2,1,2,5,1,0
381,59,0.0,0,1,3,0,1,6,0,0
382,73,9000.0,1,0,0,1,4,1,0,0
383,62,3900.0,1,1,3,1,0,2,1,1
384,56,0.0,0,1,2,0,3,6,1,0
385,64,9000.0,1,0,0,1,2,2,0,0
386,98,0.0,0,1,2,1,2,5,0,1
387,20,0.0,0,1,1,1,1,5,1,1
388,55,10000.0,1,0,3,0,1,0,1,1
389,64,0.0,0,1,2,0,4,5,0,0
390,81,2300.0,1,1,1,1,3,4,1,0
391,59,1500.0,1,1,0,1,2,3,1,0
392,33,8200.0,1,0,0,0,1,2,0,0
393,88,0.0,0,0,3,0,4,6,1,1
394,19,0.0,0,1,1,1,1,5,1,1
395,78,6400.0,1,0,0,0,2,3,0,1
396,18,2300.0,1,1,1,1,2,0,1,0
397,80,11000.0,1,0,1,1,4,2,1,0
398,19,10300.0,1,0,3,1,2,4,0,1
399,70,7500.0,1,0,0,1,0,1,1,1
400,68,0.0,0,1,1,0,1,6,1,0
401,52,3200.0,1,1,2,0,4,2,1,1
402,43,0.0,0,1,3,1,1,6,0,0
403,19,2000.0,1,1,1,0,2,4,0,1
404,31,7000.0,1,0,0,1,0,1,0,1
405,95,0.0,0,1,0,1,1,6,0,0
406,67,1500.0,1,1,0,1,0,0,1,1
407,48,0.0,0,0,0,1,0,5,1,0
408,29,0.0,0,1,3,1,2,6,0,1
409,69,1400.0,1,1,0,1,1,4,0,0
410,33,0.0,0,0,1,1,1,5,0,0
411,64,0.0,0,0,2,1,3,6,1,1
412,5,0.0,0,1,2,0,4,5,1,0
413,38,0.0,0,0,0,0,4,6,0,1
414,27,12500.0,1,0,2,1,3,1,1,0
415,49,3600.0,1,1,3,0,0,3,0,0
416,89,13500.0,1,0,1,1,2,4,0,0
417,82,10300.0,1,0,3,1,3,3,0,1
418,92,1400.0,1,1,0,1,0,0,0,0
419,39,8100.000000000001,1,0,1,1,1,4,0,1
420,72,7500.0,1,0,0,1,2,4,1,1
421,82,0.0,0,0,1,0,2,6,0,0
422,83,7500.0,1,0,0,1,1,1,1,1
423,24,10800.0,1,0,3,1,1,4,1,1
424,68,0.0,0,1,3,1,1,5,1,0
425,88,3000.0,1,1,2,1,2,0,0,1
426,49,1200.0,1,1,0,0,2,0,0,0
427,44,3000.0,1,1,2,1,0,4,0,0
428,23,14000.0,1,0,1,1,3,3,1,0
429,33,3800.0,1,1,3,1,1,4,0,0
430,94,7600.000000000001,1,0,1,0,0,4,0,1
431,68,2100.0,1,1,1,0,0,1,1,1
432,85,0.0,0,1,2,1,2,6,1,0
433,75,3800.0,1,1,3,1,0,0,0,1
434,77,0.0,0,1,2,1,1,5,1,1
435,43,9200.0,1,0,2,1,3,0,0,1
436,2,0.0,0,0,2,0,1,6,1,1
437,17,0.0,0,0,0,0,2,5,1,1
438,89,11800.0,1,0,2,0,4,1,0,0
439,31,2400.0,1,1,1,0,4,0,1,0
440,20,0.0,0,0,2,1,2,6,1,0
441,9,0.0,0,0,1,1,2,3,0,1
442,90,8800.0,1,0,2,0,3,0,0,1
443,39,3000.0,1,1,2,1,0,4,0,0
444,12,0.0,0,0,3,0,2,2,1,1
445,96,1300.0,1,1,0,0,2,4,1,0
446,47,10400.0,1,0,1,0,2,2,1,0
447,3,0.0,0,1,1,1,2,4,0,1
448,30,10600.0,1,0,1,0,3,0,1,0
449,79,0.0,0,0,0,1,1,6,1,0
450,94,0.0,0,0,0,1,4,5,0,1
451,3,0.0,0,1,1,0,1,1,1,0
452,12,0.0,0,0,1,0,1,3,1,1
453,16,0.0,0,0,2,0,0,4,1,0
454,4,0.0,0,1,1,0,0,0,0,1
455,41,0.0,0,1,0,1,3,6,0,1
456,81,3100.0,1,1,2,1,2,1,1,1
457,66,2400.0,1,1,1,0,4,0,1,0
458,6,0.0,0,0,2,0,2,6,1,1
459,91,3100.0,1,1,2,1,0,0,1,0
460,68,10000.0,1,0,1,0,0,1,0,0
461,40,12500.0,1,0,2,1,0,1,1,0
462,4,0.0,0,1,0,0,3,2,1,1
463,47,7500.000000000001,1,0,1,0,2,2,0,1
464,68,10200.0,1,0,3,0,2,3,1,1
465,28,3700.0,1,1,3,0,0,1,1,0
466,55,0.0,0,1,3,1,3,6,1,0
467,73,11000.0,1,0,1,1,4,0,1,0
468,98,0.0,0,1,0,0,1,5,0,1
469,82,9200.0,1,0,2,0,0,2,1,1
470,72,0.0,0,0,3,0,0,6,1,0
471,32,2200.0,1,1,1,0,3,4,0,0
472,18,9700.0,1,0,2,1,2,2,1,1
473,98,7000.0,1,0,0,0,0,4,1,1
474,77,3900.0,1,1,3,0,4,0,0,1
475,76,1600.0,1,1,0,0,4,2,1,1
476,94,7000.0,1,0,0,1,2,1,0,1
477,44,2400.0,1,1,1,0,4,3,1,0
478,1,0.0,0,0,0,0,3,1,1,0
479,13,0.0,0,0,3,0,3,5,0,0
480,7,0.0,0,0,0,0,0,4,1,1
481,78,1600.0,1,1,0,0,4,0,1,0
482,56,1500.0,1,1,0,1,3,1,1,1
483,15,0.0,0,1,2,0,4,6,1,1
484,79,1500.0,1,1,0,1,1,4,1,1
485,33,9500.0,1,0,2,0,4,1,1,1
486,48,0.0,0,1,2,0,4,5,1,1
487,30,3900.0,1,1,3,1,2,1,1,0
488,46,3600.0,1,1,3,0,1,4,0,1
489,82,0.0,0,0,2,1,3,6,1,0
490,18,3900.0,1,1,3,0,4,0,0,1
491,85,8900.0,1,0,0,0,2,1,1,0
492,10,0.0,0,1,0,1,3,5,0,0
493,65,2300.0,1,1,1,1,3,2,1,0
494,95,2100.0,1,1,1,0,0,0,1,1
495,95,7500.0,1,0,0,1,3,2,1,1
496,23,9700.0,1,0,3,0,2,2,0,1
497,10,0.0,0,0,0,0,2,2,0,0
498,91,12000.0,1,0,0,1,2,3,1,0
499,80,12500.0,1,0,2,1,3,2,1,0
